order_date|revenue|customer_id|order_id
2001-10-29|178|C0001|O00001
2004-01-02|149|C0003|O00002
2004-01-02|41|C0002|O00003
2004-01-04|25|C0004|O00004
2004-01-04|29|C0005|O00005
2004-01-05|145|C0006|O00006
2004-01-06|47|C0007|O00007
2004-01-08|42|C0008|O00008
2004-01-09|96|C0009|O00009
2004-01-09|105|C0011|O00010
2004-01-09|111|C0010|O00011
2004-01-10|33|C0012|O00012
2004-01-11|65|C0013|O00013
2004-01-12|34|C0014|O00014
2004-01-13|100|C0015|O00015
2004-01-13|38|C0016|O00016
2004-01-14|38|C0017|O00017
2004-01-15|39|C0018|O00018
2004-01-15|107|C0019|O00019
2004-01-16|19|C0020|O00020
2004-01-16|39|C0021|O00021
2004-01-17|154|C0022|O00022
2004-01-20|100|C0026|O00023
2004-01-20|57|C0024|O00024
2004-01-20|182|C0023|O00025
2004-01-20|180|C0025|O00026
2004-01-21|143|C0028|O00027
2004-01-21|13|C0027|O00028
2004-01-23|165|C0005|O00029
2004-01-24|140|C0029|O00030
2004-01-25|104|C0030|O00031
2004-01-25|44|C0031|O00032
2004-01-27|33|C0032|O00033
2004-01-27|38|C0033|O00034
2004-01-28|105|C0034|O00035
2004-01-30|40|C0027|O00036
2004-01-30|217|C0035|O00037
2004-01-30|71|C0036|O00038
2004-01-31|132|C0037|O00039
2004-02-01|31|C0039|O00040
2004-02-01|45|C0038|O00041
2004-02-02|57|C0040|O00042
2004-02-02|31|C0041|O00043
2004-02-02|100|C0042|O00044
2004-02-02|159|C0028|O00045
2004-02-03|53|C0043|O00046
2004-02-03|172|C0044|O00047
2004-02-04|54|C0045|O00048
2004-02-04|72|C0046|O00049
2004-02-05|52|C0047|O00050
2004-02-06|218|C0049|O00051
2004-02-06|202|C0048|O00052
2004-02-07|68|C0050|O00053
2004-02-08|15|C0051|O00054
2004-02-09|35|C0052|O00055
2004-02-10|34|C0055|O00056
2004-02-10|108|C0053|O00057
2004-02-10|187|C0054|O00058
2004-02-11|55|C0056|O00059
2004-02-13|178|C0057|O00060
2004-02-13|113|C0019|O00061
2004-02-14|198|C0058|O00062
2004-02-14|76|C0060|O00063
2004-02-14|194|C0059|O00064
2004-02-15|118|C0061|O00065
2004-02-15|35|C0062|O00066
2004-02-16|51|C0064|O00067
2004-02-16|32|C0063|O00068
2004-02-17|76|C0065|O00069
2004-02-17|109|C0068|O00070
2004-02-17|184|C0066|O00071
2004-02-17|104|C0067|O00072
2004-02-19|219|C0070|O00073
2004-02-19|53|C0069|O00074
2004-02-20|28|C0071|O00075
2004-02-21|214|C0072|O00076
2004-02-22|145|C0038|O00077
2004-02-22|120|C0075|O00078
2004-02-22|68|C0002|O00079
2004-02-22|43|C0074|O00080
2004-02-22|215|C0073|O00081
2004-02-23|213|C0077|O00082
2004-02-23|66|C0076|O00083
2004-02-23|219|C0078|O00084
2004-02-24|209|C0080|O00085
2004-02-24|24|C0079|O00086
2004-02-25|50|C0081|O00087
2004-02-25|41|C0082|O00088
2004-02-25|54|C0083|O00089
2004-02-26|91|C0084|O00090
2004-02-26|215|C0085|O00091
2004-02-27|199|C0089|O00092
2004-02-27|69|C0090|O00093
2004-02-27|107|C0087|O00094
2004-02-27|41|C0086|O00095
2004-02-27|109|C0091|O00096
2004-02-27|207|C0088|O00097
2004-02-28|40|C0095|O00098
2004-02-28|71|C0029|O00099
2004-02-28|132|C0093|O00100
2004-02-28|21|C0092|O00101
2004-02-28|136|C0094|O00102
2004-02-29|114|C0101|O00103
2004-02-29|196|C0099|O00104
2004-02-29|21|C0098|O00105
2004-02-29|26|C0100|O00106
2004-02-29|84|C0097|O00107
2004-02-29|210|C0096|O00108
2004-03-01|87|C0102|O00109
2004-03-01|68|C0103|O00110
2004-03-02|60|C0029|O00111
2004-03-02|190|C0106|O00112
2004-03-02|212|C0104|O00113
2004-03-02|68|C0105|O00114
2004-03-03|89|C0107|O00115
2004-03-03|78|C0108|O00116
2004-03-04|138|C0109|O00117
2004-03-04|192|C0110|O00118
2004-03-05|111|C0114|O00119
2004-03-05|195|C0113|O00120
2004-03-05|11|C0111|O00121
2004-03-05|63|C0112|O00122
2004-03-06|116|C0115|O00123
2004-03-06|17|C0119|O00124
2004-03-06|88|C0116|O00125
2004-03-06|31|C0118|O00126
2004-03-06|185|C0117|O00127
2004-03-06|104|C0088|O00128
2004-03-07|171|C0122|O00129
2004-03-07|47|C0120|O00130
2004-03-07|127|C0121|O00131
2004-03-07|90|C0124|O00132
2004-03-07|147|C0004|O00133
2004-03-07|14|C0123|O00134
2004-03-07|26|C0027|O00135
2004-03-08|44|C0126|O00136
2004-03-08|119|C0125|O00137
2004-03-08|144|C0128|O00138
2004-03-08|73|C0090|O00139
2004-03-08|178|C0127|O00140
2004-03-08|168|C0129|O00141
2004-03-09|30|C0131|O00142
2004-03-09|105|C0130|O00143
2004-03-09|109|C0132|O00144
2004-03-10|175|C0136|O00145
2004-03-10|75|C0134|O00146
